Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Newtonian ideas of forces and motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons first law,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Kepler’s Third Law in both Newtonian and ratio form,Isaac Newton,male,concept,English,Europe,
physics,Faraday cages,Michael Faraday,male,concept,English,Europe,
physics,Millikan's oil drop,Robert Millikan,male,scientist,American,North America,
physics,van Allen Belts,James Van Allen,male,scientist,American,North America,
physics,Faraday's laws,Michael Faraday,male,concept,English,Europe,
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Snell's Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Snell's Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Snell's Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,The resolution of this by Planck with studies of ‘Black Bodies’,Max Planck,male,scientist,German,Europe,
physics,Wien's Law,Wilhelm Wien,male,concept,German,Europe,
physics,The issue of the Photoelectric Effect discovered by Hertz and the failure of classical physics to explain the phenomenon. Einstein’s subsequent explanation:,Heinrich Hertz;Albert Einstein,male;male,scientist;scientist,German;German,Europe;Europe,
physics,link of the equation to Millikan’s experimental arrangement involving Stopping Voltages,Robert Millikan,male,scientist,American,North America,
physics,Einstein’s explanation of potential difference based maximum frequencies:,Albert Einstein,male,scientist,German,Europe,
physics,Compton scattering,Arthur Compton,male,concept,American,North America,
physics,"De Broglie’s completion of wave/particle duality by his allocation of a wavelength to particles and the implications in terms ofinterference of electrons and other so called particles.",Louis de Broglie,male,scientist,French,Europe,
physics,Qualitative discussion can then lead to the interpretation of this as Quantum Mechanics by Schrodinger:,Erwin Schrodinger,male,scientist,Austrian,Europe,
physics,Bohr-Rutherford atom,Niels Bohr;Ernest Rutherford,male;male,concept,Danish;New Zealander,Europe;Oceania,
physics,Bohr-Rutherford atom,Niels Bohr;Ernest Rutherford,male;male,concept,Danish;New Zealander,Europe;Oceania,
physics,Rutherford team,Ernest Rutherford,male,scientist,New Zealander,Oceania,
physics,"Atomic number, mass number, atomic mass unit (Dalton)",John Dalton,male,scientist,English,Europe,
physics,Newtonian physics,Isaac Newton,male,concept,English,Europe,
physics,Einsteins theory of special relativity,Albert Einstein,male,concept,German,Europe,
physics,Newtonian physics,Isaac Newton,male,concept,English,Europe,
chemistry,Faradays law,Michael Faraday,male,concept,English,Europe,
chemistry,hess' law,Germain Hess,male,concept,Swiss,Europe,
chemistry,use hess' law on additivity of heat ,Germain Hess,male,concept,Swiss,Europe,
chemistry,le chateliers principle ,Henry Le Chatelier,male,concept,French,Europe,
chemistry,le chateliers principle ,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Bronsted-Lowry model,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,
chemistry,"Understand properties of gases as described by boyles law, charles law",Robert Boyle;Jacques Charles,male;male,concept;concept,Irish;French,Europe;Europe,
chemistry,bohr model of the atom,Niels Bohr,male,concept,Danish,Europe,
chemistry,bohr model of the hydrogen atom ,Niels Bohr,male,concept,Danish,Europe,
chemistry,faradays laws of electrolysis ,Michael Faraday,male,concept,English,Europe,
biology,Punnett squares ,Reginald Punnett,male,concept,British,Europe,
