Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,determine the gait and speed of dinosaurs based on their tracks (such as that devised by Robert Alexander),Robert Alexander,male,scientist,British,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons first law,Isaac Newton,male,concept,English,Europe,
physics,Newtons first law,Isaac Newton,male,concept,English,Europe,
physics,Newtons first law,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons first law,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law,Isaac Newton,male,concept,English,Europe,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,
physics,Hookes law,Robert Hooke,male,concept,English,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Van de Graaff generator,Robert Van de Graaff,male,concept,American,North America,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,
physics,Temperature scales: Celsius Fahrenheit and Kelvin,"Anders Celsius;Daniel Fahrenheit;William Thomson, Lord Kelvin",male;male;male,concept;concept;concept,Swedish;German;British,Europe;Europe;Europe,
physics,Celsius Fahrenheit and Kelvin,"Anders Celsius;Daniel Fahrenheit;William Thomson, Lord Kelvin",male;male;male,concept;concept;concept,Swedish;German;British,Europe;Europe;Europe,
physics,Celsius Fahrenheit and Kelvin,"Anders Celsius;Daniel Fahrenheit;William Thomson, Lord Kelvin",male;male;male,concept;concept;concept,Swedish;German;British,Europe;Europe;Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons cradle,Isaac Newton,male,concept,English,Europe,
physics,Doppler effect,Christian Doppler,male,concept,Austrian,Europe,
physics,Doppler effect,Christian Doppler,male,concept,Austrian,Europe,
physics,Doppler echocardiogram,Christian Doppler,male,concept,Austrian,Europe,
physics,Snells Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Geiger counter,Hans Geiger,male,concept,German,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Keplers laws of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Theory of Special Relativity formulated by Einstein,Albert Einstein,male,scientist,German,Europe,
physics,"explore the experiments, both from Einstein’s time and more recently, that confirm the postulates of special relativity",Albert Einstein,male,scientist,German,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Keplers laws of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Keplers laws of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Newtons third law,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation and second law,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Keplers laws of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Keplers first law of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Keplers second law of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Describe Keplers first two Laws of Planetary Motion,Johannes Kepler,male,concept,German,Europe,
physics,Keplers third law of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Keplers third law of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Keplers laws,Johannes Kepler,male,concept,German,Europe,
physics,Keplers laws,Johannes Kepler,male,concept,German,Europe,
physics,Hubble Space Telescope,Edwin Hubble,male,concept,American,North America,
physics,Keplers laws,Johannes Kepler,male,concept,German,Europe,
physics,Keplers laws,Johannes Kepler,male,concept,German,Europe,
physics,Einsteins Theory of Special Relativity,Albert Einstein,male,concept,German,Europe,
physics,Newtonian physics,Isaac Newton,male,concept,English,Europe,
physics,Einsteins Theory of Special Relativity,Albert Einstein,male,concept,German,Europe,
physics,Lorentz factor,Hendrik Lorentz,male,concept,Dutch,Europe,
physics,Lorentz factor,Hendrik Lorentz,male,concept,Dutch,Europe,
physics,Newtonian physics,Isaac Newton,male,concept,English,Europe,
physics,Einsteins second postulate of relativity,Albert Einstein,male,concept,German,Europe,
physics,Coulomb's law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Coulomb's law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Coulomb's law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Newtons third law,Isaac Newton,male,concept,English,Europe,
physics,Coulombs law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Newtons law of universal gravitation,Isaac Newton,male,concept,English,Europe,
physics,Van de Graaff generator,Robert Van de Graaff,male,concept,American,North America,
physics,Coulombs law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Van de Graaff generator,Robert Van de Graaff,male,concept,American,North America,
physics,Coulombs law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Faraday cages,Michael Faraday,male,concept,English,Europe,
physics,Van de Graaff generator,Robert Van de Graaff,male,concept,American,North America,
physics,Davisson-Germer experiment,Clinton Davisson;Lester Germer,male;male,concept,American;American,North America;North America,
physics,Faraday's law,Michael Faraday,male,concept,English,Europe,
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Faraday's law,Michael Faraday,male,concept,English,Europe,
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Lenz's law,Heinrich Lenz,male,concept,Russian,Europe,Continent assigned based on ethnic group
physics,Faraday's law,Michael Faraday,male,concept,English,Europe,
